id,name,formula,crystal_system,hardness_min,hardness_max,density_min,density_max,cleavage,transparency,clean_formula,industry_application,mend_atomic_mass,mend_electronegativity,mend_covalent_radius,mend_ionization_energy,mend_melting_point,mend_dipole_polarizability,rdkit_exact_mw,rdkit_valence_electrons,rdkit_heavy_atoms,avg_hardness,avg_density,element_O_count,element_H_count,element_Si_count,element_Ca_count,element_Al_count,element_Na_count,element_S_count,element_Fe_count,element_P_count,element_Mg_count,element_Mn_count,element_As_count,element_Cu_count,element_C_count,element_K_count,total_unique_elements,total_atom_count,formula_weighted_mass,formula_weighted_en,parsed_elements,element_list,cluster_kmeans,cluster_hierarchical,pca_1,pca_2,tsne_1,tsne_2
50,Agardite-(La),LaCu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>&middot;3H<sub>2</sub>O,Hexagonal,3.0,4.0,3.65,3.65,Unknown,"Transparent,Translucent",LaCu6(AsO4)3(OH)63H2O,Electronics,13.419803013245032,2.8045033112582782,53.52980132450331,13.246167278017415,116.8935761589404,8.475246026490066,2022.3708659999977,605.0,86.0,3.5,3.65,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5,17.0,40.83258823529412,2.4658823529411764,"{'La': 1.0, 'Cu': 6.0, 'As': 1.0, 'O': 6.0, 'H': 3.0}","As,Cu,H,La,O",2,0,1.6859493296444463,-0.7231459728547535,24.61206,36.948456
51,Agate,SiO<sub>2</sub>,Unknown,6.5,7.0,2.6,2.6,Unknown,Translucent,SiO2,Other,20.027666666666665,2.9266666666666663,80.66666666666667,11.79593,598.6233333333333,15.966666666666669,59.966755770000006,16.0,3.0,6.75,2.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,20.03,2.9266666666666663,"{'Si': 1.0, 'O': 2.0}","O,Si",2,0,0.3952557946836596,-0.4797834657814092,-20.829876,2.9359257
57,Agrellite,NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F,Triclinic,5.5,5.5,2.902,2.902,"Excellent on <mi>{110}</mi> and <mi>{1_10}</mi>, poor on <mi>{010}</mi>","Transparent,Translucent",NaCa2Si4O10F,Construction,21.915231802388888,2.717222222222222,91.94444444444444,11.309748772222225,552.606888888889,38.346666666666664,393.77020677999985,88.0,18.0,5.5,2.902,10.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,18.0,21.91722222222222,2.717222222222222,"{'Na': 1.0, 'Ca': 2.0, 'Si': 4.0, 'O': 10.0, 'F': 1.0}","Ca,F,Na,O,Si",2,0,-0.3044272474077017,-0.39540144203509886,-13.048264,-32.99775
59,Aguilarite,Ag<sub>4</sub>SeS,Monoclinic,2.5,2.5,7.4,7.53,Unknown,Opaque,Ag4SeS,Electronics,90.4173,2.1416666666666666,121.83333333333331,8.402885666666668,1234.9299999999998,44.71666666666667,539.5089803,56.0,6.0,2.5,7.465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.0,90.41833333333334,2.1416666666666666,"{'Ag': 4.0, 'Se': 1.0, 'S': 1.0}","Ag,S,Se",0,1,-6.240262034947745,1.673818860074037,-68.40259,20.46353
60,Aheylite,"(Fe<sup>2+</sup>,Zn)Al<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>&middot;4H<sub>2</sub>O",Triclinic,5.0,5.5,3.22,3.22,"{001}, also {010} good",Transparent,FeAl6(PO4)4(OH)84H2O,Construction,10.32432464137374,2.8125757575757575,52.68181818181818,13.28612503370895,72.7087010309278,7.23086595959596,2043.8785451719984,738.0,112.0,5.25,3.22,6.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,17.0,20.45435294117647,2.407058823529412,"{'Fe': 1.0, 'Al': 6.0, 'P': 1.0, 'O': 6.0, 'H': 3.0}","Al,Fe,H,O,P",2,0,2.1493283353560195,-0.9657672618337159,41.089996,-4.227443
61,Ahlfeldite,Ni(SeO<sub>3</sub>)&middot;2H<sub>2</sub>O,Monoclinic,2.0,2.5,3.37,3.37,Fair on {110}{103},Transparent,Ni(SeO3)2H2O,Energy,27.553700000000003,2.9574999999999996,70.58333333333333,12.472322349950334,213.665,12.742851666666668,331.74843790399996,66.0,10.0,2.25,3.37,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8.0,25.45825,2.8275,"{'Ni': 1.0, 'Se': 1.0, 'O': 4.0, 'H': 2.0}","H,Ni,O,Se",2,0,1.3771682404465488,-0.587565610264159,37.709938,33.846294
63,Aikinite,PbCuBiS<sub>3</sub>,Orthorhombic,2.0,2.5,7.06,7.08,on {010},Opaque,PbCuBiS3,Electronics,95.9844,2.223333333333333,119.33333333333331,8.918100983333334,834.3113333333334,33.28333333333333,575.8028613000001,38.0,6.0,2.25,7.07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,6.0,95.99,2.3316666666666666,"{'Pb': 1.0, 'Cu': 1.0, 'Bi': 1.0, 'S': 3.0}","Bi,Cu,Pb,S",0,1,-5.228237968478201,1.492111552314766,-64.65468,26.816078
68,Akatoreite,Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>,Triclinic,6.0,6.0,3.48,3.48,"Good on <mi>{010}</mi> , poor on <mi>{0_12}</mi>",Transparent,Mn9Al2Si8O24(OH)8,Construction,21.91724530508475,2.7127118644067796,76.66101694915254,11.672145030468068,523.5243389830508,20.87554033898305,1292.1207634959997,301.0,51.0,6.0,3.48,25.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5,45.0,26.092177777777778,2.6793333333333336,"{'Mn': 9.0, 'Al': 2.0, 'Si': 8.0, 'O': 25.0, 'H': 1.0}","Al,H,Mn,O,Si",2,0,0.28751621725539916,-0.4510292482828204,-5.7255635,-26.042036
69,Akdalaite,Al<sub>10</sub>O<sub>14</sub>(OH)<sub>2</sub>,Hexagonal,7.0,7.5,3.68,3.68,Unknown,Translucent,Al10O14(OH)2,Construction,18.850549464285713,2.697857142857143,83.28571428571429,10.890837114264428,365.4453571428571,23.993365,527.7496702839996,128.0,26.0,7.25,3.68,15.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,26.0,19.646461538461537,2.6884615384615387,"{'Al': 10.0, 'O': 15.0, 'H': 1.0}","Al,H,O",2,0,-0.26218028517085207,-0.4030280591750934,-24.360289,-16.718077
70,Åkermanite,Ca<sub>2</sub>Mg[Si<sub>2</sub>O<sub>7</sub>],Tetragonal,5.0,6.0,2.944,2.944,"Distinct on <mi>{001}</mi> , poor on <mi>{110}</mi>","Transparent,Translucent",Ca2Mg[Si2O7],Construction,22.718666666666667,2.599166666666666,96.16666666666669,10.958524328333334,575.6891666666667,42.041666666666664,271.82847906,56.0,12.0,5.5,2.944,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,12.0,22.72083333333333,2.599166666666666,"{'Ca': 2.0, 'Mg': 1.0, 'Si': 2.0, 'O': 7.0}","Ca,Mg,O,Si",2,0,-0.9655906874452871,-0.26194636155501116,-17.791002,-25.4365
72,Akrochordite,MnMn<sub>2</sub>Mn<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>4</sub>,Monoclinic,3.5,3.5,3.194,3.35,"On <mi>{010}</mi> , perfect; a second, perpendicular to the first.",Translucent,MnMn2Mn2(AsO4)2(OH)4(H2O)4,Other,19.788954571428572,2.672857142857143,63.68571428571428,12.509068148469256,308.9625714285714,15.396723428571429,692.5459528040005,153.0,23.0,3.5,3.272,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4,15.0,29.9096,2.478,"{'Mn': 5.0, 'As': 1.0, 'O': 6.0, 'H': 3.0}","As,H,Mn,O",2,0,0.8289322700037697,-0.6282397727748399,10.526813,16.590452
73,Aksaite,Mg[B<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>]&middot;2H<sub>2</sub>O,Orthorhombic,2.5,2.5,2.066,2.066,Probable on <mi>{100}</mi> and <mi>{010}</mi> .,"Transparent,Translucent",Mg[B6O7(OH)6]2H2O,Construction,11.113148148148149,2.767962962962963,61.25925925925926,12.320148766589408,570.1579629629631,9.692584074074077,602.0689516880001,214.0,40.0,2.5,2.066,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,19.0,12.431263157894737,2.69,"{'Mg': 1.0, 'B': 6.0, 'O': 9.0, 'H': 3.0}","B,H,Mg,O",2,0,1.5249101608740478,-0.7958604803996722,32.185844,-11.34519
74,Aktashite,Cu<sub>6</sub>Hg<sub>3</sub>As<sub>4</sub>S<sub>12</sub>,Trigonal,3.5,3.5,5.5,5.5,Unknown,Opaque,Cu6Hg3As4S12,Electronics,66.69833520000002,2.2712,111.64,9.64580448,1016.1679230769232,29.3412,1666.8407519999992,164.0,25.0,3.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,3,22.0,48.446363636363635,2.321818181818182,"{'Cu': 6.0, 'As': 4.0, 'S': 12.0}","As,Cu,S",0,1,-3.862090942219087,0.897238837865215,-61.775917,14.304872
89,Alabandite,MnS,Cubic,3.5,4.0,3.95,4.04,on {100},Opaque,MnS,Chemical,43.499022,2.065,111.0,8.897024,1519.15,43.7,86.9101161,13.0,2.0,3.75,3.995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2.0,43.504999999999995,2.065,"{'Mn': 1.0, 'S': 1.0}","Mn,S",0,1,-4.738859311692961,0.8441527749362715,-65.45663,7.316814
91,Alacránite,As<sub>8</sub>S<sub>9</sub>,Monoclinic,1.5,1.5,3.43,3.43,imperfect on {100},Translucent,As8S9,Chemical,52.23016235294117,2.391764705882353,111.47058823529412,10.091087647058824,1090.15,24.38823529411765,887.1214110000003,94.0,17.0,1.5,3.43,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2,17.0,52.23470588235294,2.391764705882353,"{'As': 8.0, 'S': 9.0}","As,S",0,1,-2.935867340342214,0.6454348852355973,-50.754555,26.143713
93,Alamosite,PbSiO<sub>3</sub>,Monoclinic,4.5,4.5,6.488,6.488,<mi>{010}</mi>,"Transparent,Translucent",PbSiO3,Other,56.6564,2.804,89.8,11.28450498,490.1684,20.04,283.93832248999996,26.0,5.0,4.5,6.488,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.0,56.657999999999994,2.91,"{'Pb': 1.0, 'Si': 1.0, 'O': 3.0}","O,Pb,Si",2,0,-1.3468497645666637,0.3220963445718683,-21.72112,36.98101
95,Alaskaite,,Unknown,2.0,2.0,6.78,6.88,Unknown,Opaque,,Other,,,,,,,,,,2.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,{},,2,0,-0.875488443415068,0.098747818373911,-34.86531,21.452324
